id_article;id_keyword
2480035;46
2480035;9
2480035;20
2480069;2
2480069;17
2480069;11
2480121;1
2480121;41
2480121;27
2480131;1
2480131;13
2480131;49
2480179;2
2480179;24
2480179;36
2480253;6
2480253;48
2480253;40
2480255;1
2480255;26
2480255;42
2480272;0
2480272;49
2480272;10
2480276;14
2480276;19
2480276;33
2480291;1
2480291;3
2480291;45
2480314;1
2480314;37
2480314;0
2480358;4
2480358;15
2480358;46
2480360;5
2480360;31
2480360;47
2480366;6
2480366;21
2480366;3
2480405;1
2480405;15
2480405;25
2480429;1
2480429;44
2480429;49
2480432;1
2480432;36
2480432;11
2480442;3
2480442;47
2480442;13
2480491;5
2480491;46
2480491;42
2480493;5
2480493;23
2480493;35
2480528;1
2480528;37
2480528;23
2480578;37
2480578;8
2480578;14
5011145;5
5011145;25
5011145;26
5011165;2
5011165;41
5011165;24
5011169;3
5011169;45
5011169;41
5011294;0
5011294;42
5011294;22
5011351;14
5011351;30
5011351;21
5011369;5
5011369;24
5011369;3
5011379;0
5011379;8
5011379;7
5011388;3
5011388;30
5011388;10
5011434;31
5011434;34
5011434;19
5011467;4
5011467;0
5011467;12
5011475;1
5011475;27
5011475;18
5011518;3
5011518;31
5011518;2
5011520;3
5011520;36
5011520;37
5011549;4
5011549;22
5011549;36
5011607;36
5011607;8
5011607;46
5011633;1
5011633;2
5011633;8
5011641;1
5011641;24
5011641;21
5011647;1
5011647;28
5011647;39
5011656;42
5011656;23
5011656;32
5011702;6
5011702;38
5011702;16
5011762;34
5011762;29
5011762;42
5011763;1
5011763;45
5011763;4
5011773;6
5011773;30
5011773;19
5011793;6
5011793;19
5011793;47
5011797;11
5011797;32
5011797;2
5011804;3
5011804;46
5011804;40
5011808;6
5011808;45
5011808;32
5011840;0
5011840;39
5011840;42
5011891;1
5011891;30
5011891;34
5011895;1
5011895;36
5011895;6
5011931;37
5011931;39
5011931;26
5011934;4
5011934;42
5011934;31
5011978;4
5011978;23
5011978;12
5012032;28
5012032;0
5012032;14
5012047;0
5012047;9
5012047;11
5012074;42
5012074;47
5012074;14
5012196;1
5012196;21
5012196;36
5012209;5
5012209;26
5012209;22
5012222;0
5012222;41
5012222;9
5012272;6
5012272;18
5012272;38
5012284;3
5012284;31
5012284;42
5012377;6
5012377;29
5012377;1
5012380;3
5012380;12
5012380;6
5012398;30
5012398;1
5012398;16
5012404;1
5012404;45
5012404;33
5012431;5
5012431;32
5012431;24
5012475;0
5012475;11
5012475;37
5012492;0
5012492;2
5012492;47
5012515;0
5012515;17
5012515;13
5012523;6
5012523;34
5012523;49
5012530;4
5012530;44
5012530;33
5012555;5
5012555;2
5012555;30
5012558;0
5012558;26
5012558;48
5012566;5
5012566;17
5012566;30
5012572;11
5012572;28
5012572;33
5012573;0
5012573;13
5012573;10
5012592;23
5012592;41
5012592;3
5012607;3
5012607;34
5012607;42
5012621;28
5012621;12
5012621;41
5012634;0
5012634;4
5012634;15
5012653;3
5012653;27
5012653;40
5012718;2
5012718;46
5012718;3
5012722;5
5012722;3
5012722;14
5012733;2
5012733;40
5012733;30
5012749;4
5012749;41
5012749;9
5012860;5
5012860;47
5012860;49
5012895;2
5012895;29
5012895;48
5012909;2
5012909;45
5012909;43
5012911;38
5012911;4
5012911;28
5012917;32
5012917;37
5012917;8
5012947;5
5012947;26
5012947;41
5012956;2
5012956;19
