id_article;id_proceeding
2480035;6884500
2480069;6361906
2480121;2528925
2480131;2491682
2480179;6811565
2480253;6797070
2480255;2536323
2480272;6885457
2480276;2553116
2480291;5388293
2480314;4707715
2480358;6813589
2480360;2515784
2480366;2483129
2480405;2551098
2480429;5659256
2480432;2518892
2480442;2552717
2480491;6714352
2480493;4309183
2480528;6686998
2480578;6034091
5011145;6361951
5011165;2486290
5011169;2493399
5011294;2515357
5011351;2525463
5011369;6033993
5011379;5388264
5011388;5388272
5011434;2552487
5011467;2533265
5011475;6810771
5011518;6066175
5011520;7151017
5011549;2554025
5011607;6654627
5011633;6362115
5011641;6812947
5011647;2497488
5011656;2696294
5011702;2493274
5011762;2498349
5011763;2779101
5011773;2532627
5011793;6362169
5011797;6771632
5011804;6819957
5011808;2494754
5011840;6659952
5011891;2480645
5011895;6745229
5011931;6671010
5011934;2484377
5011978;6802534
5012032;6320043
5012047;6754272
5012074;2532790
5012196;2489180
5012209;2493725
5012222;6868300
5012272;5437504
5012284;6843103
5012377;2499699
5012380;2516996
5012398;2547789
5012404;2514965
5012431;2529550
5012475;2508462
5012492;6716135
5012515;6786199
5012523;2539457
5012530;2498316
5012555;2494250
5012558;6853439
5012566;6717655
5012572;6034042
5012573;6762786
5012592;6684909
5012607;2491820
5012621;6858269
5012634;2498328
5012653;2534249
5012718;2542443
5012722;6714352
5012733;2550379
5012749;6812947
5012860;6696538
5012895;3940769
5012909;6814792
5012911;6812947
5012917;6693807
5012947;2535391
5012956;2491232
5013045;6778927
5013070;2590651
5013085;4465387
5013106;6361918
5013167;2538629
5013179;6858252
5013180;2494321
5013279;6320027
5013313;2533028
5013381;2498168
5013443;3938697
5013527;2553995
5013545;6785634
5013596;4031123
5013639;4141391
5013644;4707776
5013661;5335379
5013691;5504278
5013731;4708009
5013773;2483441
5013806;7151021
5013807;2485939
5013860;2553947
5013870;6362243
5013889;5659256
5013903;5335340
5013986;5746721
5013998;6773098
5014042;2540413
5014049;6797070
5014072;2487058
5014086;7151099
5014090;3940769
5014091;6683660
5014093;2494140
5014099;5504314
5014111;6788111
5014118;6832464
5014120;2529550
5014144;2486587
5014163;7151256
5014172;6320026
5014176;2492833
5014179;6876682
5014250;6717655
5014265;6754876
5014268;2498416
5014283;6867684
5014300;2547915
5014369;2496193
5014371;6832490
5014376;2502529
5014380;5504299
5014420;6320043
5014447;2486530
5014481;4501147
5014490;6719520
5014499;2480666
5014504;4141315
5014540;5659193
5014544;6657222
5014548;2542706
5014585;6066175
5014592;2494807
5014634;6034156
5014641;2480600
5014652;2549258
5014681;2482341
5014690;2486504
5014771;2536204
5014833;2494754
5014857;2526541
5014918;2538004
5014968;2491222
5014969;4141017
5014980;2541110
5015042;2540466
5015051;2529348
5015066;6749452
5015094;2534748
5015101;2494140
5015104;2520361
5015228;6652785
5015249;2517117
5015266;6696538
5015299;4707867
5015311;2549956
5015312;2539837
5015315;6797070
5015323;2483204
5015326;2510938
5015341;2496600
5015366;2540629
5015369;6708127
5015381;2514971
5015397;2481347
5015411;2549258
5015443;3872919
5015445;6362169
5015464;2548511
5015478;6719520
5015500;2539596
5015501;2494875
5015511;2548410
5015528;2541465
5015584;6667346
5015618;6661263
5015663;2535592
5015674;2504153
5015681;2491802
5015709;6034182
5015716;6840622
5015719;2482865
5015749;2547992
5015755;5659215
5015803;2533525
5015814;6700611
5015825;2493290
5015856;2486788
5015883;2540742
5015902;7150976
5015905;7150983
5015912;2516076
5015913;2542946
5015964;7024699
5015990;2528320
5016039;2497454
5016067;2528780
5016106;6802534
5016114;2484363
5016131;2487950
5016139;6652785
5016146;2516912
5016173;6763973
5016197;6361918
5016209;4465420
5016240;5659163
5016255;6852982
5016286;6865875
5016301;2554275
5016307;6066175
5016331;7151102
5016402;2553116
5016438;3873039
5016443;6773822
5016457;6853646
5016468;6777805
5016478;7151219
5016479;6846543
5016480;2551058
5016500;6974441
5016504;6853646
5016508;2542706
5016525;2529348
5016544;2482702
5016570;2485598
5016608;2481748
5016624;2534581
5016636;2481408
5016651;6759560
5016665;6361962
5016680;2529799
5016692;2484377
5016698;2528925
5016714;6779416
5016726;7150983
5016784;2513321
5016790;6788846
5016800;6867469
5016802;2516838
5016822;2481631
5016836;2485340
5016870;5659263
5016891;6066226
5016903;6869069
5016906;2552085
5016931;6033946
5016934;2491231
5017007;5746635
5017017;6320128
5017025;2543013
5017029;2540454
5017048;2516912
5017071;2516891
5017077;6066120
5017080;2486797
5017097;2529172
5017103;6733012
5017124;6034176
5017177;2487230
5017185;2520418
5017196;2553525
5017250;6788846
5017305;6852782
5017324;6710624
5017334;6066042
5017352;2492527
5017370;2551017
5017373;6796393
5017415;2554057
5017429;6362151
5017455;5335359
5017459;7024699
5017483;4141180
5017519;6746238
5017525;7151216
5017559;2499583
5017593;6066038
5017611;6845200
5017627;2542417
5017682;6361948
5017703;2481552
5017720;5746865
5017727;6034244
5017754;5388380
5017789;2540855
5017795;5504314
5017833;6714970
5017857;6034196
5017912;2498746
5017914;2531004
5017916;5746662
5017929;2494078
5017989;6738219
5017990;6713001
5017998;5388317
5018026;3872972
5018049;4031086
5018092;6826936
5018101;2493651
5018102;2505982
5018153;2493399
5018154;2502529
5018165;6830708
5018186;3769343
5018229;2554538
5018245;6814792
5018251;2509575
5018254;6796393
5018282;5659208
5018338;6827989
5018355;2544023
5018418;2494135
5018463;5335340
5018524;6874040
5018538;6737060
5018541;6034244
5018544;2502281
5018570;6813174
5018594;2483129
5018639;5659198
5018653;2491099
5018658;6802285
5018671;2548892
5018679;6034082
5018680;2548041
5018711;6361926
5018720;6845200
5018724;6792728
5018757;2538937
5018759;6755864
5018781;6654627
5018801;2486307
5018821;6721981
5018832;6669838
5018839;6796596
5018849;7151274
5018857;2500359
5018884;6066080
5018914;5746625
5018934;4141421
5018939;5746801
5018946;7151110
5018963;2528912
5019016;2489861
5019133;6743872
5019163;7151219
5019254;2486721
5019281;2506653
5019288;6974457
5019305;7024616
5019320;6827406
5019324;6066180
5019354;6827265
5019369;2486222
5019378;6697348
5019382;2481277
5019391;2551826
5019393;4707996
5019410;2554500
5019420;2544023
5019442;2552064
5019454;2535592
5019471;6765383
5019477;3872856
5019481;2487422
5019494;6034082
5019496;2778853
5019497;2484333
5019536;6691115
5019537;2513259
5019560;6865875
5019562;6797070
5019597;5746839
5019599;2481611
5019616;2481169
5019652;3940769
5019664;2491950
5019683;5335340
5019696;2485840
5019704;6725205
5019712;7151219
5019725;2499699
5019735;3872737
5019812;2480809
5019818;6361951
5019847;6362123
5019870;6841233
5019874;6813589
5019876;2518684
5019896;6786981
5019916;6650858
5019919;5746697
5020013;5746743
5020026;5388317
5020061;6836585
5020108;5659163
5020118;2492082
5020159;6974388
5020165;2498155
5020195;6740081
5020199;2534616
5020230;6724005
5020284;2537361
5020291;2494047
5020292;2486285
5020299;6320128
5020325;2488821
5020339;6974336
5020346;2493725
5020353;7151169
5020390;6876946
5020409;2536344
5020414;6813174
5020440;2538233
5020486;7151256
5020509;6659952
5020515;5504309
5020547;2498458
5020556;6725642
5020573;6034082
5020593;6728587
5020598;6827989
5020616;5746798
5020641;6650304
5020674;2529742
5020751;6846543
5020796;6033946
5020798;2553631
5020803;6033946
5020805;2490239
5020841;6736215
5020917;2481277
5020918;7151096
5020920;2486285
5020925;2531561
5020985;2535508
5020986;4707776
5021033;5388358
5021045;2536323
5021061;6655427
5021066;3872338
5021080;2488821
5021107;2518687
5021134;6687332
5021147;2491962
5021150;6033958
5021184;7151099
5021185;6762786
5021197;6362140
5021213;2486276
5021217;2535108
5021240;2491885
5021242;2536128
5021273;6779416
5021291;6696538
5021301;7151111
5021309;6713007
5021325;2498458
5021382;2533003
5021408;7151120
5021424;6034063
5021448;2531990
5021458;6034022
5021487;5746701
5021491;2498416
5021538;2528261
5021547;2485606
5021586;2548009
5021594;4713039
5021604;6783423
5021644;2499255
5021683;2551098
5021693;6362096
5021708;2511032
5021722;2487965
5021729;5388264
5021762;6741399
5021770;6861470
5021786;6648995
5021798;6740583
5021813;5335340
5021816;2490845
5021857;2491893
5021862;2491893
5021880;6830628
5021891;6034276
5021900;2481678
5021909;6836585
5021972;5659214
5021990;4707820
5021991;5746743
5022020;2545259
5022039;6794610
5022054;2494140
5022077;2494481
5022086;2540629
5022126;6856825
5022147;2529627
5022160;3873142
5022175;6651915
5022189;6034091
5022195;2480600
5022223;6657222
5022231;6361951
5022266;2529610
5022277;6033993
5022287;5659210
5022303;7150976
5022325;6845200
5022327;2528240
5022341;6793210
5022344;6661669
5022382;6707560
5022383;6683433
5022409;2516016
5022439;6820861
5022447;6694358
5022454;2498746
5022469;2548283
5022485;2486587
5022517;2499680
5022559;6850811
5022566;6745229
5022591;2508779
5022629;2485598
5022659;6034019
5022670;2549122
5022674;2482890
5022682;6361906
5022701;6767297
5022719;6674525
5022729;2516707
5022746;6600529
5022808;6868300
5022822;2552697
5022824;6034111
5022825;2486504
5022831;6784611
5022895;2485897
5022901;2483882
5022941;2493973
5022971;2542417
5023005;6793210
5023019;6729002
5023065;5504271
5023072;2497352
5023079;6725249
5023095;2516999
5023120;2540693
5023144;2486797
5023157;6812913
5023172;5746802
5023179;2554624
5023227;6797873
5023233;2517654
5023240;2533028
5023246;6878877
5023278;2509145
5023285;2481536
5023301;6650858
5023326;6874268
5023340;2482430
5023348;6777805
5023355;2485897
5023361;2490496
5023366;5746625
5023367;6361918
5023372;7024699
5023387;4707893
5023398;6858252
5023423;2528842
5023461;6672899
5023505;5012328
5023510;2535576
5023526;6320103
5023538;6704213
5023549;2536574
5023576;7151143
5023582;2516900
5023608;6034082
5023626;2518089
5023636;6885912
5023643;6830708
5023668;2516705
5023674;6676105
5023679;2487231
5023685;2540737
5023687;2482798
5023744;6876278
5023790;5504314
5023793;2529086
5023815;6844748
5023847;6654997
5023895;2483063
5023896;5504297
5023909;2553995
5023932;5746751
5023937;2535580
5023971;2499559
5023978;2547386
5023987;2529550
5024009;2516857
5024015;2531561
5024021;6820672
5024031;6658591
5024054;7151151
5024059;6784242
5024073;2542946
5024112;6788111
5024118;6033901
5024153;6785634
5024156;3873142
5024175;6715367
5024183;6716135
5024202;5335414
5024231;2531977
5024251;2510938
5024269;2542442
5024292;2529172
5024310;2518863
5024313;2481611
5024329;7151110
5024334;6714352
5024389;2486290
5024396;2543141
5024397;2539596
5024404;6846543
5024431;6865875
5024463;2482124
5024489;6797863
5024498;5659163
5024542;6788846
5024568;2540192
5024575;4566092
5024622;6651915
5024657;6034156
