id;author;aff_id
7213703;Carmen Heine;118
7213704;Gerd Hoff;49
7213705;Margo I. Seltzer;41
7213706;Steffen Rothkugel;126
7213707;Ann L. Chervenak;42
7213708;Michael Schiwietz;125
7213709;Baltasar Beferull-Lozano;123
7213710;Michael H. Böhlen;187
7213711;Stuart M. Charters;67
7213712;Brian Wyvill;22
7213713;Saeed Parsa;127
7213714;Anson Hong Tak Tse;55
7213715;Eng Soon Ang;164
7213716;Qingde Li;156
7213717;Christopher Mark Brown;182
7213718;Ricky Jay Vinter;197
7213719;Dong Walter Xie;77
7213720;Jian Ren 0004;155
7213721;Simon Langley;111
7213722;Moira C. Norrie;59
7213723;Kim Chwee Ng;65
7213724;M. F. Richardson;188
7213725;Xinsheng Zhang;44
7213726;J. M. Officer;71
7213727;Cheuk Yin Yau;72
7213728;Paul E. Dunne;129
7213729;Neil Madden;97
7213730;Shanu Sushmita;48
7213731;Timothy James Proctor;70
7213732;Alex Karel Obruca;166
7213733;Pui Shan Chan;140
7213734;S. C. Lynch;1
7213735;Rodrigo Agerri;32
7213736;John Oluwagbemiga Oyekan;153
7213737;Anthony Joseph Beaumont;195
7213738;Abraheem Alsaeed;7
7213739;Zhuopeng Zhang;58
7213740;Andrew Phillips;181
7213741;Nardine Zoulfikar Osman;158
7213742;Amer Abdaladeem Dheedan;65
7213743;Hui Guan;45
7213744;A. D. Clark;82
7213745;Karin Veronica Sundstedt;23
7213746;João Rafael Landeiro de Sousa Gonçalves;67
7213747;Wolfgang Schmidle;147
7213748;Mohammed Salifu;195
7213749;Katherine Dempsey;173
7213750;Vyacheslav Chesnokov;4
7213751;Alex Blewitt;194
7213752;Abdalah Al-Shawi;1
7213753;Andrew Jones 0004;9
7213754;A. J. Tollyfield;38
7213755;George Xirogiannis;183
7213756;María Auxiliadora Franco Gaviria;45
7213757;Adnan Albazi;42
7213758;Xiaodong Liu;73
7213759;Martin Friedrich Berger;18
7213760;Chris Ryder;7
7213761;Jamie Paul Twycross;17
7213762;Liam Boodhoo;196
7213763;Resheed Almotaeryi;194
7213764;Ashley T. Howes;181
7213765;Adriana Teresa Olmos Antillon;127
7213766;Andrea J. Corbett;144
7213767;Mohammed J. Alhaddad;38
7213768;Florence Agboma;190
7213769;Phebe Vayanos;119
7213770;Jay Bradley;135
7213771;Javad Esmaeili;139
7213772;Ponpisut Worrajiran;133
7213773;Tarek A. El-Mihoub;60
7213774;Gregory F. Coppola;170
7213775;Sara Diamond;76
7213776;Andrew J. C. Spray;159
7213777;Sebastian Stein 0003;16
7213778;Chanwit Kaewkasi;175
7213779;Jens Wissmann;17
7213780;Stylianos Papaharalabos;35
7213781;Panus Nattharith;192
7213782;Thu Trang Doan;34
7213783;Simon Peter Doolin;188
7213784;Nishanthan Kamaleson;26
7213785;Aikaterini Antonopoulou;153
7213786;Yohko Aoki;165
7213787;Radmila Juric;56
7213788;Glenn G. Campbell;34
7213789;Zhiheng Huang;41
7213790;Alex Hughes;4
7213791;Graham R. S. Ritchie;45
7213792;Marc-Olivier M. P. Baradez;13
7213793;J. Crespo-Sandoval;189
7213794;Khaled Alekeish;103
7213795;Matthew Shardlow;182
7213796;Veit U. B. Schenk;6
7213797;Phillip Taylor;101
7213798;Razvan-Ioan Dinita;156
7213799;Kemal Hajdarevic;121
7213800;Jiacheng Tan;82
7213801;Armando Aguilar-Soto;146
7213802;Arasanathan Anjulan;114
7213803;Andrew P. Bass;73
