id;title;key;series;name;volume;year
2480600;NooJ;conf/nooj/2015;Communications in Computer and Information Science;Automatic Processing of Natural-Language Electronic Texts with NooJ - 9th International Conference, NooJ 2015, Minsk, Belarus, June 11-13, 2015, Revised Selected Papers;null;2016
2480645;NooJ;conf/nooj/2016;Communications in Computer and Information Science;Automatic Processing of Natural-Language Electronic Texts with NooJ, 10th International Conference, NooJ 2016, České Budějovice, Czech Republic, June 9-11, 2016, Revised Selected Papers.;null;2016
2480661;NooJ;conf/nooj/2017;Communications in Computer and Information Science;Formalizing Natural Languages with NooJ and Its Natural Language Processing Applications - 11th International Conference, NooJ 2017, Kenitra and Rabat, Morocco, May 18-20, 2017, Revised Selected Papers;null;2018
2480666;NooJ;conf/nooj/2018;Communications in Computer and Information Science;Formalizing Natural Languages with NooJ 2018 and Its Natural Language Processing Applications - 12th International Conference, NooJ 2018, Palermo, Italy, June 20-22, 2018, Revised Selected Papers;null;2019
2480708;ISSAC;conf/issac/1988;Lecture Notes in Computer Science;Symbolic and Algebraic Computation, International Symposium ISSAC'88, Rome, Italy, July 4-8, 1988, Proceedings;null;1989
2480764;ISSAC;conf/issac/2002;;Symbolic and Algebraic Computation, International Symposium ISSAC 2002, Lille, France, July 7-10, 2002, Proceedings;null;2002
2480809;ISSAC;conf/issac/2007;;Symbolic and Algebraic Computation, International Symposium, ISSAC 2007, Waterloo, Ontario, Canada, July 28 - August 1, 2007, Proceedings;null;2007
2480865;ISSAC;conf/issac/2015;;Proceedings of the 2015 ACM on International Symposium on Symbolic and Algebraic Computation, ISSAC 2015, Bath, United Kingdom, July 06 - 09, 2015;null;2015
2480877;ISSAC;conf/issac/2009;;Symbolic and Algebraic Computation, International Symposium, ISSAC 2009, Seoul, Republic of Korea, July 29-31, 2009, Proceedings;null;2009
2480901;ISSAC;conf/issac/1992;;Proceedings of the 1992 International Symposium on Symbolic and Algebraic Computation, ISSAC '92, Berkeley, CA, USA, July 27-29, 1992;null;1992
2480932;ISSAC;conf/issac/1989;;Proceedings of the ACM-SIGSAM 1989 International Symposium on Symbolic and Algebraic Computation, ISSAC '89, Portland, Oregon, USA, July 17-19, 1989;null;1989
2481017;ISSAC;conf/issac/1994;;Proceedings of the International Symposium on Symbolic and Algebraic Computation, ISSAC '94, Oxford, UK, July 20-22, 1994;null;1994
2481169;ISSAC;conf/issac/2005;;Symbolic and Algebraic Computation, International Symposium ISSAC 2005, Beijing, China, July 24-27, 2005, Proceedings;null;2005
2481277;ISSAC;conf/issac/1990;;Proceedings of the International Symposium on Symbolic and Algebraic Computation, ISSAC '90, Tokyo, Japan, August 20-24, 1990;null;1990
2481347;ISSAC;conf/issac/1991;;Proceedings of the 1991 International Symposium on Symbolic and Algebraic Computation, ISSAC '91, Bonn, Germany, July 15-17, 1991;null;1991
2481399;ISSAC;conf/issac/2019;;Proceedings of the 2019 on International Symposium on Symbolic and Algebraic Computation, ISSAC 2019, Beijing, China, July 15-18, 2019.;null;2019
2481408;ISSAC;conf/issac/1999;;Proceedings of the 1999 International Symposium on Symbolic and Algebraic Computation, ISSAC '99, Vancouver, B.C., Canada, July 29-31, 1999;null;1999
2481421;ISSAC;conf/issac/2008;;Symbolic and Algebraic Computation, International Symposium, ISSAC 2008, Linz/Hagenberg, Austria, July 20-23, 2008, Proceedings;null;2008
2481536;ISSAC;conf/issac/2003;;Symbolic and Algebraic Computation, International Symposium ISSAC 2003, Drexel University, Philadelphia, Pennsylvania, USA, August 3-6, 2003, Proceedings;null;2003
2481585;ISSAC;conf/issac/2006;;Symbolic and Algebraic Computation, International Symposium, ISSAC 2006, Genoa, Italy, July 9-12, 2006, Proceedings;null;2006
2481611;ISSAC;conf/issac/2013;;International Symposium on Symbolic and Algebraic Computation, ISSAC'13, Boston, MA, USA, June 26-29, 2013;null;2013
2481678;ISSAC;conf/issac/2001;;Proceedings of the 2001 International Symposium on Symbolic and Algebraic Computation, ISSAC 2001, ORCCA & University of Western Ontario, London, Ontario, Canada, July 22-25, 2001;null;2001
2481743;ISSAC;conf/issac/2016;;Proceedings of the ACM on International Symposium on Symbolic and Algebraic Computation, ISSAC 2016, Waterloo, ON, Canada, July 19-22, 2016;null;2016
2481748;ISSAC;conf/issac/1996;;Proceedings of the 1996 International Symposium on Symbolic and Algebraic Computation, ISSAC '96, Zurich, Switzerland, July 24-26, 1996;null;1996
2481777;ISSAC;conf/issac/2012;;International Symposium on Symbolic and Algebraic Computation, ISSAC'12, Grenoble, France - July 22 - 25, 2012;null;2012
2481844;ISSAC;conf/issac/1995;;Proceedings of the 1995 International Symposium on Symbolic and Algebraic Computation, ISSAC '95, Montreal, Canada, July 10-12, 1995;null;1995
2481875;ISSAC;conf/issac/2014;;International Symposium on Symbolic and Algebraic Computation, ISSAC '14, Kobe, Japan, July 23-25, 2014;null;2014
2481969;ISSAC;conf/issac/1993;;Proceedings of the 1993 International Symposium on Symbolic and Algebraic Computation, ISSAC '93, Kiev, Ukraine, July 6-8, 1993;null;1993
2481977;ISSAC;conf/issac/2004;;Symbolic and Algebraic Computation, International Symposium ISSAC 2004, Santander, Spain, July 4-7, 2004, Proceedings;null;2004
2482011;ISSAC;conf/issac/1997;;Proceedings of the 1997 International Symposium on Symbolic and Algebraic Computation, ISSAC '97, Maui, Hawaii, USA, July 21-23, 1997;null;1997
2482102;ISSAC;conf/issac/2000;;Proceedings of the 2000 International Symposium on Symbolic and Algebraic Computation, ISSAC 2000, St. Andrews, United Kingdom, August 6-10, 2000;null;2000
2482124;ISSAC;conf/issac/2017;;Proceedings of the 2017 ACM on International Symposium on Symbolic and Algebraic Computation, ISSAC 2017, Kaiserslautern, Germany, July 25-28, 2017;null;2017
2482296;ISSAC;conf/issac/2010;;Symbolic and Algebraic Computation, International Symposium, ISSAC 2010, Munich, Germany, July 25-28, 2010, Proceedings;null;2010
2482333;ISSAC;conf/issac/2011;;Symbolic and Algebraic Computation, International Symposium, ISSAC 2011 (co-located with FCRC 2011), San Jose, CA, USA, June 7-11, 2011, Proceedings;null;2011
2482341;ISSAC;conf/issac/2018;;Proceedings of the 2018 ACM on International Symposium on Symbolic and Algebraic Computation, ISSAC 2018, New York, NY, USA, July 16-19, 2018;null;2018
2482430;ISSAC;conf/issac/1998;;Proceedings of the 1998 International Symposium on Symbolic and Algebraic Computation, ISSAC '98, Rostock, Germany, August 13-15, 1998;null;1998
2481410;SYMSAC;conf/issac/1976;;SYMSAC 1976, Proceedings of the third ACM Symposium on Symbolic and Algebraic Manipulation, Yorktown Heights, New York, USA, August 10-12, 1976;null;1976
2481552;SYMSAC;conf/issac/1981;;SYMSAC 1981, Proceedings of the Symposium on Symbolic and Algebraic Manipulation, Snowbird, Utah, USA, August 5-7, 1981;null;1981
2481631;SYMSAC;conf/issac/1986;;SYMSAC 1986, Proceedings of the Symposium on Symbolic and Algebraic Manipulation, Waterloo, Ontario, Canada, July 21-23, 1986;null;1986
2481784;SNC;conf/issac/2007snc;;Symbolic-Numeric Computation, SNC 2007, International Workshop, 25-27 July 2007, University of Western Ontario, London, Ontario, Canada;null;2007
2590576;SNC;conf/snc/2009;;Symbolic Numeric Computation, SNC '09, Kyoto, Japan - August 03 - 05, 2009;null;2009
2590632;SNC;conf/snc/2014;;Symbolic-Numeric Computation 2014, SNC '14, Shanghai, China, July 28-31, 2014;null;2014
2590651;SNC;conf/snc/2011;;SNC 2011, Proceedings of the 2011 Internation Workshop on Symbolic-Numeric Computation, San Jose, California, USA, June 7-9, 2011;null;2011
2482480;PASCO;conf/issac/2007pasco;;Parallel Symbolic Computation, PASCO 2007, International Workshop, 27-28 July 2007, University of Western Ontario, London, Ontario, Canada;null;2007
4309120;PASCO;conf/cap/2015;;Proceedings of the 2015 International Workshop on Parallel Symbolic Computation, PASCO 2015, Bath, United Kingdom, July 10-12, 2015;null;2015
4309163;PASCO;conf/cap/1997;;Proceedings of the 2nd International Workshop on Parallel Symbolic Computation, PASCO 1997, July 20-22, 1997, Kihei, Hawaii, USA;null;1997
4309183;PASCO;conf/cap/2010;;Proceedings of the 4th International Workshop on Parallel Symbolic Computation, PASCO 2010, July 21-23, 2010, Grenoble, France;null;2010
2482601;WEIS;conf/weis/2007;;6th Annual Workshop on the Economics of Information Security, WEIS 2007, The Heinz School and CyLab at Carnegie Mellon University, Pittsburgh, PA, USA, June 7-8, 2007;null;2007
2482611;WEIS;conf/weis/2015;;14th Annual Workshop on the Economics of Information Security, WEIS 2015, Delft, The Netherlands, 22-23 June, 2015;null;2015
2482613;WEIS;conf/weis/2009;;8th Annual Workshop on the Economics of Information Security, WEIS 2009, University College London, England, UK, June 24-25, 2009;null;2009
2482641;WEIS;conf/weis/2005;;4th Annual Workshop on the Economics of Information Security, WEIS 2005, Harvard University, Cambridge, MA, USA, June 1-3, 2005;null;2005
2482676;WEIS;conf/weis/2008;;7th Annual Workshop on the Economics of Information Security, WEIS 2008, Dartmouth College, Hanover, NH, USA, June 25-28, 2008;null;2008
2482702;WEIS;conf/weis/2006;;5th Annual Workshop on the Economics of Information Security, WEIS 2006, Robinson College, University of Cambridge, England, UK, June 26-28, 2006;null;2006
2482734;WEIS;conf/weis/2012;;11th Annual Workshop on the Economics of Information Security, WEIS 2012, Berlin, Germany, 25-26 June, 2012;null;2012
2482794;WEIS;conf/weis/2010;;9th Annual Workshop on the Economics of Information Security, WEIS 2010, Harvard University, Cambridge, MA, USA, June 7-8, 2010;null;2010
2482798;WEIS;conf/weis/2011;;10th Annual Workshop on the Economics of Information Security, WEIS 2011, George Mason University, Fairfax, VA, USA, June 14-15, 2011;null;2011
2482865;DepCoS-RELCOMEX;conf/depcos/2007;;2007 International Conference on Dependability of Computer Systems (DepCoS-RELCOMEX 2007), June 14-16, 2007, Szklarska Poreba, Poland;null;2007
2482890;DepCoS-RELCOMEX;conf/depcos/2009;;Fourth International Conference on Dependability of Computer Systems, DepCos-RELCOMEX '09, Brunow, Poland, June 30 - July 2, 2009;null;2009
2483063;DepCoS-RELCOMEX;conf/depcos/2019;Advances in Intelligent Systems and Computing;Engineering in Dependability of Computer Systems and Networks - Proceedings of the 14th International Conference on Dependability of Computer Systems DepCoS-RELCOMEX, July 1-5, 2019, Brunów, Poland;null;2020
2483070;DepCoS-RELCOMEX;conf/depcos/2008;;Third International Conference on Dependability of Computer Systems, DepCoS-RELCOMEX 2008, June 26-28, 2008, Szklarska Poreba, Poland;null;2008
2483119;DepCoS-RELCOMEX;conf/depcos/2006;;2006 International Conference on Dependability of Computer Systems (DepCoS-RELCOMEX 2006), 24-28 May 2006, Szklarska Poreba, Poland;null;2006
2483170;DepCoS-RELCOMEX;conf/depcos/2016;Advances in Intelligent Systems and Computing;Dependability Engineering and Complex Systems - Proceedings of the Eleventh International Conference on Dependability and Complex Systems DepCoS-RELCOMEX. June 27-July 1, 2016, Brunów, Poland;null;2016
2483292;DepCoS-RELCOMEX;conf/depcos/2017;Advances in Intelligent Systems and Computing;Advances in Dependability Engineering of Complex Systems - Proceedings of the 12th International Conference on Dependability and Complex Systems DepCoS-RELCOMEX, July 2-6, 2017, Brunów, Poland;null;2018
2483344;DepCoS-RELCOMEX;conf/depcos/2018;Advances in Intelligent Systems and Computing;Contemporary Complex Systems and Their Dependability - Proceedings of the 13th International Conference on Dependability and Complex Systems DepCoS-RELCOMEX, July 2-6, 2018, Brunów, Poland;null;2019
2482886;DepCoS-RELCOMEX;conf/depcos/2015;Advances in Intelligent Systems and Computing;Theory and Engineering of Complex Systems and Dependability - Proceedings of the Tenth International Conference on Dependability and Complex Systems DepCoS-RELCOMEX, June 29 - July 3 2015, Brunów, Poland;null;2015
2483129;DepCoS-RELCOMEX;conf/depcos/2013;Advances in Intelligent Systems and Computing;New Results in Dependability and Computer Systems - Proceedings of the 8th International Conference on Dependability and Complex Systems DepCoS-RELCOMEX, September 9-13, 2013, Brunów, Poland;null;2013
2483204;DepCoS-RELCOMEX;conf/depcos/2014;Advances in Intelligent Systems and Computing;Proceedings of the Ninth International Conference on Dependability and Complex Systems DepCoS-RELCOMEX. June 30 - July 4, 2014, Brunów, Poland;null;2014
